# Version 1.00,,,,,,,,,,
#,,,,,,,,,,
# Ref Impedances: Z01: 50, Z02: 50,,,,,,,,,
# ,,,,,,,,,,
freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S12,im:Trc2_S12,re:Trc3_S21,im:Trc3_S21,re:Trc4_S22,im:Trc4_S22,,mag:Trc1_S11
2.24E+09,-8.58E-01,2.31E-01,4.65E-04,1.47E-05,5.46E-04,1.18E-06,-8.52E-01,2.66E-01,,0.888406567
2.25E+09,-8.36E-01,2.97E-01,5.05E-04,-1.17E-04,5.48E-04,-1.01E-04,-8.24E-01,3.20E-01,,0.887063356
2.27E+09,-8.09E-01,3.62E-01,4.48E-04,-1.36E-04,4.44E-04,-1.37E-04,-7.94E-01,3.95E-01,,0.885819216
2.28E+09,-7.76E-01,4.24E-01,5.00E-04,-1.01E-04,4.45E-04,-5.27E-05,-7.60E-01,4.44E-01,,0.884767777
2.30E+09,-7.39E-01,4.84E-01,5.07E-04,-1.13E-04,5.18E-04,-1.37E-04,-7.24E-01,5.07E-01,,0.883573913
2.31E+09,-6.97E-01,5.41E-01,6.54E-04,-1.58E-04,6.75E-04,-1.59E-04,-6.79E-01,5.55E-01,,0.88225812
2.33E+09,-6.49E-01,5.95E-01,6.96E-04,-3.29E-04,6.45E-04,-3.28E-04,-6.32E-01,6.22E-01,,0.880937002
2.34E+09,-5.97E-01,6.46E-01,6.47E-04,-3.30E-04,6.34E-04,-3.22E-04,-5.75E-01,6.61E-01,,0.879639297
2.36E+09,-5.41E-01,6.92E-01,7.20E-04,-3.05E-04,8.19E-04,-3.03E-04,-5.18E-01,7.22E-01,,0.87834355
2.37E+09,-4.80E-01,7.34E-01,7.28E-04,-3.78E-04,8.20E-04,-4.16E-04,-4.53E-01,7.52E-01,,0.877225138
2.39E+09,-4.15E-01,7.72E-01,9.45E-04,-4.01E-04,8.97E-04,-4.84E-04,-3.88E-01,7.91E-01,,0.876023693
2.40E+09,-3.46E-01,8.03E-01,1.05E-03,-7.02E-04,9.99E-04,-8.27E-04,-3.22E-01,8.14E-01,,0.874639193
2.42E+09,-2.73E-01,8.30E-01,9.58E-04,-7.81E-04,8.52E-04,-8.15E-04,-2.54E-01,8.38E-01,,0.873445522
2.43E+09,-1.97E-01,8.49E-01,1.24E-03,-9.59E-04,1.12E-03,-1.05E-03,-1.70E-01,8.52E-01,,0.871803374
2.45E+09,-1.19E-01,8.62E-01,1.30E-03,-1.17E-03,1.22E-03,-1.17E-03,-9.03E-02,8.67E-01,,0.870245714
2.46E+09,-3.65E-02,8.67E-01,1.56E-03,-1.51E-03,1.40E-03,-1.58E-03,5.26E-03,8.65E-01,,0.868044034
2.48E+09,4.70E-02,8.64E-01,1.56E-03,-2.14E-03,1.33E-03,-2.26E-03,8.46E-02,8.73E-01,,0.865467074
2.49E+09,1.33E-01,8.52E-01,1.27E-03,-2.70E-03,8.56E-04,-2.63E-03,1.81E-01,8.46E-01,,0.862775602
2.51E+09,2.20E-01,8.31E-01,1.09E-03,-3.03E-03,7.72E-04,-2.90E-03,2.59E-01,8.26E-01,,0.859720734
2.52E+09,3.08E-01,7.99E-01,7.06E-04,-3.54E-03,4.37E-04,-3.18E-03,3.47E-01,7.84E-01,,0.856141994
2.54E+09,3.94E-01,7.55E-01,2.43E-04,-3.87E-03,2.67E-04,-3.28E-03,4.19E-01,7.41E-01,,0.851653202
2.55E+09,4.78E-01,6.99E-01,2.33E-04,-3.96E-03,5.14E-04,-3.50E-03,5.14E-01,6.70E-01,,0.846950045
2.57E+09,5.58E-01,6.28E-01,3.92E-04,-4.77E-03,7.39E-04,-4.54E-03,5.82E-01,6.02E-01,,0.84003994
2.58E+09,6.31E-01,5.43E-01,3.26E-04,-5.67E-03,4.36E-04,-5.52E-03,6.67E-01,4.99E-01,,0.832426145
2.60E+09,6.94E-01,4.42E-01,3.78E-04,-7.26E-03,4.96E-04,-7.18E-03,7.06E-01,4.24E-01,,0.822603204
2.61E+09,7.42E-01,3.24E-01,-7.59E-04,-9.68E-03,-6.29E-04,-9.25E-03,7.64E-01,2.78E-01,,0.809532887
